Flag,Description,Type,Part,Quantity,UOM,InstructionNote,ConfigurationSortOrder,InstructionSortOrder
BOM,EC-01410-DB9,K6x RefGen-N (DB9 Build),Manufacture,1,Order Quantity,,,
Item,Add XA-10103,Raw Good,XA-10103,1,ea,P1,51,52
Item,Add PB-00011,Raw Good,PB-00011,1,ea,BT1,1,1
Item,Add CC-00072,Raw Good,CC-00072,32,ea,"C1,C3,C7,C8,C9,C10,C11,C12,C13,C14,C15,C19,C25,C26,C27,C28,C31,C33,C41,C50,C53,C56,C64,C65,C66,C67,C76,C79,C80,C94,C100,C101",2,2
Item,Add CC-00076,Raw Good,CC-00076,3,ea,"C2,C4,C34",3,3
Item,Add CC-00062,Raw Good,CC-00062,7,ea,"C5,C6,C37,C38,C42,C44,C46",4,4
Item,Add CC-00045,Raw Good,CC-00045,2,ea,"C16,C20",5,5
Item,Add CC-90000,Raw Good,CC-90000,6,ea,"C17,C18,C96,C97,C98,C99",6,6
Item,Add CC-00067,Raw Good,CC-00067,1,ea,C21,7,7
Item,Add CC-00090,Raw Good,CC-00090,1,ea,C22,8,8
Item,Add CC-00061,Raw Good,CC-00061,3,ea,"C36,C45,C62",9,9
Item,Add CE-00015,Raw Good,CE-00015,1,ea,C49,10,10
Item,Add CC-00010,Raw Good,CC-00010,1,ea,C51,11,11
Item,Add DA-00022,Raw Good,DA-00022,1,ea,D2,12,12
Item,Add DA-00023,Raw Good,DA-00023,1,ea,D6,13,13
Item,Add DA-00020,Raw Good,DA-00020,2,ea,"D9,D17",14,14
Item,Add XA-10106,Raw Good,XA-10106,1,ea,J2,15,15
Item,Add BA-00081,Raw Good,BA-00081,2,ea,"J3,J5",16,16
Item,Add BA-00083,Raw Good,BA-00083,1,ea,J4,17,17
Item,Add XA-10111,Raw Good,XA-10111,1,ea,J22,18,18
Item,Add LC-00049,Raw Good,LC-00049,8,ea,"L1,L2,L3,L4,L5,L6,L7,L17",19,19
Item,Add LC-00041,Raw Good,LC-00041,2,ea,"L10,L11",20,20
Item,Add LC-00052,Raw Good,LC-00052,1,ea,L12,21,21
Item,Add XD-09M10,Raw Good,XD-09M10,1,ea,P2,22,22
Item,Add RV-00001,Raw Good,RV-00001,2,ea,"RV5,RV6",23,23
Item,Add RS-61500,Raw Good,RS-61500,2,ea,"R1,R2",24,24
Item,Add RS-74701,Raw Good,RS-74701,21,ea,"R4,R10,R18,R19,R21,R33,R34,R35,R36,R39,R41,R42,R44,R45,R46,R48,R52,R68,R70,R71,R72",25,25
Item,Add RS-63300,Raw Good,RS-63300,2,ea,"R6,R8",26,26
Item,Add RS-66491,Raw Good,RS-66491,1,ea,R11,27,27
Item,Add RS-60270,Raw Good,RS-60270,2,ea,"R47,R50",28,28
Item,Add RS-71002,Raw Good,RS-71002,9,ea,"R49,R51,R66,R67,R91,R92,R95,R102,R103",29,29
Item,Add RS-61003,Raw Good,RS-61003,1,ea,R80,30,30
Item,Add RS-60499,Raw Good,RS-60499,4,ea,"R106,R107,R108,R109",31,31
Item,Add SM-00023,Raw Good,SM-00023,1,ea,SW1,32,32
