"PartNumber","PartDescription","PartDetails","UOM","UPC","PartType","Active","ABCCode","Weight","WeightUOM","Width","Height","Length","SizeUOM","PrimaryTracking","AlertNote","PictureUrl","Tracks-Lot Number","Tracks-Revision Level","Tracks-Expiration Date","Tracks-Serial Number","CF-Custom1","CF-Custom2","CF-Custom3","CF-Custom4"
"xAC-00026","TCD44 V1.0 // TCD44 V1.0 RED Display Board",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00035","TCD24 Red V1.0 // TCD24 Red Display V1.0",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00039","TCD-46DR V1.1 // 4 inch Red Display Digit Board V1.1",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00041","TCD-46DA V1.1 // 4 inch Amber Display Digit Board V1.1",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00043","TCD-46DG V1.1 // 4 inch Green Display Digit Board V1.1",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00044","TCD-101R // 0.6 inch Red Display 6 Digit PCBA",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00045","TCD-101A // 0.6 inch Amber Display 6 Digit PCBA",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00046","TCD-101G // 0.6 inch Green Display 6 Digit PCBA",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00052","NTDDAU // NTD Interface Daughterboard",,"ea",,"Inventory","true","B","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00050","TCD-100A // TCD-100A PCBA",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00054","ALD118 Display // ALD118 Display Board for rack mount case",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
"xAC-00053","NTDDRV 1.1 // NTD Display Driver Main Board",,"ea",,"Inventory","true","A","0","lbs","0","0","0","ft",,,,"false","false","false","false","Masterclock, Inc. // 0",,,
